Gene ID,Tissue
ENSG00000015592,Cerebral Cortex
ENSG00000015676,Cerebral Cortex
ENSG00000016082,Prostate gland
ENSG00000016391,Kidney
ENSG00000016402,Skin
ENSG00000016490,Small Intestine
ENSG00000016602,Esophagus
ENSG00000016864,Thyroid Gland
ENSG00000017260,Prostate gland
ENSG00000017427,Adipose
ENSG00000017427,Smooth Muscle
ENSG00000017483,Bone Marrow
ENSG00000017797,Skin
ENSG00000018189,Cerebral Cortex
ENSG00000018236,Cerebral Cortex
ENSG00000018280,Appendix
ENSG00000018408,Endometrium
ENSG00000018510,Smooth Muscle
ENSG00000018610,Thyroid Gland
ENSG00000018625,Cerebral Cortex
ENSG00000018699,Ovary
ENSG00000018699,Testis
ENSG00000018699,Thyroid Gland
ENSG00000018869,Thyroid Gland
ENSG00000019102,Stomach
ENSG00000019144,Cerebral Cortex
ENSG00000019169,Lung
ENSG00000019186,Urinary Bladder
ENSG00000019485,Thyroid Gland
ENSG00000019505,Cerebral Cortex
ENSG00000019549,Ovary
ENSG00000019582,Spleen
ENSG00000019991,Placenta
ENSG00000019995,Testis
ENSG00000020129,Cerebral Cortex
ENSG00000020181,Placenta
ENSG00000020256,Fallopian Tube
ENSG00000020256,Ovary
ENSG00000020256,Thyroid Gland
ENSG00000020426,Fallopian Tube
ENSG00000020577,Testis
ENSG00000020633,Spleen
ENSG00000020922,Skin
ENSG00000021300,Cerebral Cortex
ENSG00000021355,Esophagus
ENSG00000021461,Liver
ENSG00000021488,Duodenum
ENSG00000021574,Cerebral Cortex
ENSG00000021645,Cerebral Cortex
ENSG00000021762,Spleen
